activity_ts,organization_id,user_id_to,distribution_id,vendor_id,activity_type_id,activity_sub_type_id,activity_status_id,amount,total_amount,shipping,fees,tax,discount,vendor_cogs_discount,original_amount,Outcome Amount,Income Amount,Order Count
2025-07-21 22:54:41,156,1,357,1,3,13,6,668.15,6681.52,33.40,66.82,66.82,66.82,66.82,668.15,668.15,668.15,3
2025-10-24 07:22:52,354,1,11361,1,1,3,12,714.89,7148.85,35.74,71.49,71.49,71.49,71.49,714.89,714.89,714.89,3
2025-09-22 22:03:52,379,1,4766,1,3,4,9,715.07,7150.63,35.75,71.51,71.51,71.51,71.51,715.07,715.07,715.07,3
2025-02-20 12:23:54,210,1,3429,1,1,17,11,421.54,4215.45,21.08,42.15,42.15,42.15,42.15,421.54,421.54,421.54,2
2025-06-29 08:22:11,304,1,3506,1,1,29,6,432.51,4325.13,21.63,43.25,43.25,43.25,43.25,432.51,432.51,432.51,2
2025-05-09 22:04:14,9,1,15397,1,2,16,8,685.40,6853.96,34.27,68.54,68.54,68.54,68.54,685.40,685.40,685.40,3
2025-01-07 15:17:51,281,1,13451,1,3,13,3,535.09,5350.89,26.75,53.51,53.51,53.51,53.51,535.09,535.09,535.09,2
2025-04-24 08:22:18,59,1,6526,1,2,25,1,450.54,4505.40,22.53,45.05,45.05,45.05,45.05,450.54,450.54,450.54,2
2024-12-16 14:38:11,47,1,8614,1,3,8,1,609.84,6098.40,30.49,60.99,60.99,60.99,60.99,609.84,609.84,609.84,2
2025-09-08 06:37:04,437,1,889,1,3,15,4,656.48,6564.80,32.82,65.65,65.65,65.65,65.65,656.48,656.48,656.48,3
2024-12-08 11:48:19,76,1,3054,1,2,29,2,468.67,4686.72,23.43,46.87,46.87,46.87,46.87,468.67,468.67,468.67,2
2025-08-30 07:23:47,16,1,12109,1,1,3,1,626.94,6269.42,31.34,62.70,62.70,62.70,62.70,626.94,626.94,626.94,3
2024-12-16 07:42:58,163,1,11995,1,2,25,9,361.05,3610.55,18.06,36.10,36.10,36.10,36.10,361.05,361.05,361.05,1
2025-09-22 22:40:38,464,1,11196,1,1,20,5,359.38,3593.86,17.97,35.94,35.94,35.94,35.94,359.38,359.38,359.38,1
2025-01-04 12:17:50,10,1,14322,1,2,12,1,586.49,5864.86,29.32,58.65,58.65,58.65,58.65,586.49,586.49,586.49,2
2025-03-27 14:16:44,75,1,2034,1,2,5,11,362.96,3629.63,18.15,36.29,36.29,36.29,36.29,362.96,362.96,362.96,1
2025-05-11 19:19:57,252,1,1923,1,3,3,9,670.11,6701.08,33.50,67.01,67.01,67.01,67.01,670.11,670.11,670.11,3
2025-08-15 10:34:55,289,1,9739,1,2,6,5,728.56,7285.58,36.42,72.86,72.86,72.86,72.86,728.56,728.56,728.56,3
2025-04-04 08:17:56,224,1,3769,1,2,16,4,553.84,5538.43,27.69,55.39,55.39,55.39,55.39,553.84,553.84,553.84,2
2024-12-31 01:47:43,323,1,17512,1,3,6,2,644.85,6448.50,32.24,64.49,64.49,64.49,64.49,644.85,644.85,644.85,3
2025-01-16 06:01:47,236,1,540,1,3,11,4,178.53,1785.39,8.93,17.85,17.85,17.85,17.85,178.53,178.53,178.53,1
2025-03-27 23:14:48,426,1,9654,1,2,27,8,353.53,3535.28,17.68,35.35,35.35,35.35,35.35,353.53,353.53,353.53,1
2025-04-05 11:17:15,169,1,9653,1,2,19,12,367.36,3673.63,18.37,36.73,36.73,36.73,36.73,367.36,367.36,367.36,1
2025-06-23 04:45:15,215,1,19807,1,2,3,9,557.89,5578.92,27.89,55.79,55.79,55.79,55.79,557.89,557.89,557.89,2
2025-11-01 10:28:23,249,1,8723,1,1,28,5,740.15,7401.49,37.00,74.02,74.02,74.02,74.02,740.15,740.15,740.15,3
2025-06-09 13:55:54,243,1,14425,1,2,15,5,511.22,5112.16,25.56,51.12,51.12,51.12,51.12,511.22,511.22,511.22,2
2025-09-19 13:18:15,407,1,5640,1,3,25,5,410.25,4102.55,20.51,41.02,41.02,41.02,41.02,410.25,410.25,410.25,2
