activity_ts,organization_id,user_id_to,activity_type_id,activity_sub_type_id,activity_status_id,amount,total_amount,shipping,fees,tax,discount,vendor_cogs_discount,original_amount,Outcome Amount,Income Amount,Order Count
2025-09-06 06:37:35,35,1,2,1,12,143.71,287.44,14.37,7.19,11.50,21.56,28.75,172.46,143.71,143.71,3
2025-09-06 22:11:21,145,2,3,2,9,155.80,311.62,15.58,7.80,12.47,23.37,31.17,186.97,155.80,155.80,3
2025-05-11 22:48:24,76,3,1,3,4,103.67,207.35,10.37,5.18,8.29,15.55,20.74,124.41,103.67,103.67,2
2025-08-22 08:30:38,42,4,1,4,11,151.36,302.73,15.13,7.57,12.11,22.70,30.28,181.63,151.36,151.36,3
2025-03-05 07:09:12,460,5,2,5,2,85.42,170.83,8.54,4.27,6.83,12.81,17.08,102.50,85.42,85.42,2
2025-06-21 14:14:34,28,6,3,6,3,113.52,227.05,11.35,5.68,9.08,17.03,22.71,136.23,113.52,113.52,2
2025-04-04 02:52:53,253,7,3,7,10,96.66,193.32,9.67,4.83,7.73,14.50,19.33,115.99,96.66,96.66,2
2025-05-28 16:57:04,447,8,1,8,8,109.27,218.54,10.93,5.46,8.74,16.39,21.85,131.12,109.27,109.27,2
2025-03-25 11:12:46,170,9,2,9,5,84.35,168.70,8.44,4.22,6.75,12.65,16.87,101.22,84.35,84.35,2
2025-03-01 18:39:32,47,10,3,10,6,62.64,125.27,6.27,3.13,5.01,9.40,12.52,75.16,62.64,62.64,1
2025-10-06 02:07:07,448,11,1,11,7,112.52,225.05,11.25,5.63,9.00,16.88,22.51,135.03,112.52,112.52,2
2025-03-12 01:52:34,440,12,2,12,1,74.64,149.28,7.47,3.73,5.97,11.20,14.93,89.57,74.64,74.64,1
2025-06-22 12:27:18,8,13,2,13,2,111.37,222.75,11.14,5.57,8.91,16.71,22.28,133.65,111.37,111.37,2
2025-04-10 22:58:30,374,14,3,14,8,93.86,187.71,9.39,4.69,7.51,14.08,18.77,112.63,93.86,93.86,2
2024-12-13 17:55:35,315,15,1,15,6,12.03,24.04,1.21,0.59,0.95,1.80,2.40,14.43,12.03,12.03,0
2025-08-04 13:29:07,130,16,1,16,4,135.16,270.34,13.51,6.76,10.82,20.28,27.04,162.20,135.16,135.16,3
2024-12-17 09:53:04,4,17,2,17,11,69.58,139.15,6.96,3.48,5.56,10.44,13.91,83.49,69.58,69.58,1
2025-08-21 10:16:06,140,18,3,18,1,139.62,279.25,13.96,6.99,11.17,20.94,27.93,167.55,139.62,139.62,3
2025-08-24 19:50:17,120,19,3,19,7,133.37,266.76,13.33,6.67,10.67,20.01,26.68,160.05,133.37,133.37,3
2024-11-22 22:10:14,188,20,1,20,9,61.10,122.19,6.11,3.05,4.88,9.16,12.22,73.32,61.10,61.10,1
2024-12-17 15:20:55,416,21,2,21,5,60.58,121.15,6.06,3.02,4.84,9.09,12.11,72.69,60.58,60.58,1
2025-04-05 23:16:29,309,22,3,22,3,92.56,185.12,9.26,4.63,7.40,13.88,18.51,111.07,92.56,92.56,2
2025-10-04 22:50:11,244,23,1,23,12,181.17,362.37,18.11,9.07,14.50,27.18,36.24,217.42,181.17,181.17,4
2025-03-29 15:06:58,410,24,2,24,10,93.33,186.67,9.33,4.67,7.47,14.00,18.67,112.00,93.33,93.33,2
2025-09-07 22:21:11,466,25,3,25,1,127.10,254.22,12.71,6.36,10.17,19.07,25.42,152.53,127.10,127.10,3
2025-04-10 07:09:58,325,26,1,26,12,91.08,182.15,9.11,4.55,7.29,13.66,18.21,109.29,91.08,91.08,2
2025-07-25 10:28:11,316,27,2,27,7,108.43,216.86,10.84,5.42,8.68,16.26,21.69,130.12,108.43,108.43,2
2025-07-08 18:48:18,285,28,3,28,2,119.15,238.30,11.91,5.96,9.53,17.87,23.83,142.98,119.15,119.15,2
2025-04-29 02:14:00,407,29,1,29,4,99.29,198.58,9.93,4.96,7.94,14.89,19.86,119.15,99.29,99.29,2
2025-06-08 21:35:52,453,30,2,30,10,110.33,220.67,11.03,5.52,8.83,16.55,22.07,132.40,110.33,110.33,2
2025-05-22 19:02:57,444,31,2,31,8,107.38,214.76,10.74,5.37,8.59,16.11,21.48,128.86,107.38,107.38,2
2025-04-06 04:10:39,15,32,3,32,9,93.13,186.26,9.31,4.66,7.45,13.97,18.63,111.76,93.13,93.13,2
