activity_sub_type_id,activity_type_id,activity_sub_type_key,description
1,1,DISTRIBUTED,distributed
2,1,CC,cc
3,1,MIGRATION,migration
4,1,DISTRIBUTION-EXPIRATION,distribution-expiration
5,1,ACH,ach
6,1,INVOICED_CREDIT,invoiced_credit
7,1,CW_CREDIT,cw_credit
8,1,DONATION_FEE,donation_fee
9,1,OFF_PLATFORM_DEBIT,off_platform_debit
10,1,REIMBURSEMENT_FEE,reimbursement_fee
11,1,DONATION_REALLOCATION,donation_reallocation
12,1,PREPAID_REFUND_CREDIT,prepaid_refund_credit
13,1,GOFUNDME_DONATION,gofundme_donation
17,1,GOFUNDME_WITHDRAWAL,gofundme_withdrawal
18,1,DISTRIBUTION-SURRENDER,distribution-surrender
19,2,INTERNAL,internal
20,2,PREPAID,prepaid
21,2,CONCIERGE,concierge
22,2,CLASSWALLET_LICENSE,classwallet_license
23,2,HOSTED,hosted
24,2,PAYBY,payby
25,2,REIMBURSEMENT,reimbursement
26,2,PREPAID_REFUND,prepaid_refund
27,2,DIRECT_PAY,direct_pay
28,1,AFFIDAVIT_EXPIRED,affidavit_expired
29,1,SHARED-DISTRIBUTION,shared-distribution
30,1,ALLOCATION,allocation
31,1,INVOICED_CREDIT_ACH,invoiced_credit_ach
32,1,DISTRIBUTION_TRANSFER,distribution_transfer
