distribution_id,distribution_key,title,type,user_role,created_by_user_key,school_key,district_key,organization_key,expiration_date,expire_offset,active,allow_direct_pay,allow_reimbursements,allow_marketplace,is_shared
1,5e97c96b-3d1a-407d-af9f-f84ca9271eb1,X-ray exam of ribs,allocation,moderator,1dfce033-9441-4c2b-bcd5-e76e2907beab,e754bc93-8efe-48d3-b8df-6e1904dcc885,1dfce033-9441-4c2b-bcd5-e76e2907beab,370d9187-118f-4917-acd4-0a255315a741,2025-08-16 22:49:51,,0,1,0,0,0
2,df94fea5-2c9b-47a1-8df1-f430bfac6fa4,Radiation treatment delivery,project,editor,965956a4-ff5b-459c-82a5-3e1a6e338aff,1fc44784-86a1-4834-8932-8355243c3673,965956a4-ff5b-459c-82a5-3e1a6e338aff,e3d0698b-f57c-4667-af38-4b00b2360ef9,2025-05-21 00:31:10,,0,1,0,0,0
3,806a22c6-7c4a-4b06-9ec7-0fd43a7e578f,Ultraviolet therapy,disbursement,guest,7069b299-c105-4b5c-9507-462cc5bc003e,90d6895e-548a-4aaa-9d8b-cb9f6fb7f7e2,7069b299-c105-4b5c-9507-462cc5bc003e,89be2f9c-1947-4351-8fa2-2dd58a2aa43b,2025-05-18 18:58:47,,0,1,0,0,0
4,4a26555b-f103-4402-9ec1-12e7cd24ba79,Radiation treatment delivery,gofundme,manager,7f90b489-ec66-436d-b7a8-16a8ff2b584a,f039dac5-d358-4ddd-aaa4-c97147988a2a,7f90b489-ec66-436d-b7a8-16a8ff2b584a,cc7688d1-1459-4baa-a21f-70babab317d9,2025-02-09 02:23:47,,1,1,1,1,
5,89cc21cb-f8ff-4ac2-80de-670243f7cb1a,Lung perfusion imaging,default,super_admin,be721b50-3db3-46af-89ce-928226b6f43b,0b7ef1c1-2739-4834-ba3a-b814893a9218,be721b50-3db3-46af-89ce-928226b6f43b,4df25db7-996a-41a2-87ac-d0d074a007db,2025-06-28 13:43:59,,0,1,0,0,1
6,e27c0c4a-4dd0-4169-91f0-8cf72482f059,Fees w/laryngeal sense test,project,viewer,5f308a00-3447-4d8b-8c0a-b46eea263f07,9e06867d-66b8-40a9-b8f9-1b44eb2c9cf3,5f308a00-3447-4d8b-8c0a-b46eea263f07,2e4c52df-ce4d-4690-80ff-85b088441013,2024-12-14 08:41:36,,1,1,1,1,
7,152f6e07-9a0d-462f-ba79-290bf5edde0d,Insert heyman uteri capsule,disbursement,admin,806a22c6-7c4a-4b06-9ec7-0fd43a7e578f,0f0414ec-36dc-418c-86ab-45fb52643542,806a22c6-7c4a-4b06-9ec7-0fd43a7e578f,2d10e0a0-b974-4689-8650-7019c9758eda,2025-03-30 14:33:55,,1,1,1,1,0
8,d74c8cdd-b6c5-482d-92f8-3844e89b24db,Us exam scrotum,default,contributor,c6f62c86-6a61-4134-a6b3-a8651ce1a2d1,70061960-da67-4b7f-9028-5aad39104278,c6f62c86-6a61-4134-a6b3-a8651ce1a2d1,71d90e84-64a3-4dc0-85b6-48da3b2947fa,2025-10-09 10:44:30,,0,1,0,0,1
9,28503eb7-57b6-42e2-9232-36296a222f4e,Ther rx mntr 200+ rx/sbsts,allocation,support,df1883f3-73a5-4747-8339-4a1bab88025f,79bcb85b-4041-4dd2-bc0b-c69160d13105,df1883f3-73a5-4747-8339-4a1bab88025f,e433619b-0842-4c92-9edf-fde721b55b4b,2025-07-22 06:48:34,,0,1,0,0,1
10,a918f627-72a7-46b3-8d3a-3419d77f7125,Onc breast mrna 101 genes ,gofundme,user,dc21312a-7495-4fe9-891d-86eb369f9996,f6511f30-bfca-4d2b-ab97-b03eadaf37d7,dc21312a-7495-4fe9-891d-86eb369f9996,78020995-28aa-4957-8618-74a77b93fb7b,2025-08-03 02:29:50,,0,1,0,0,0
11,16072f0b-7b62-4b8d-b583-70d4179dce4e,"Doppler color flow add-on [if used in conjunction with 76825, 76826, 76827,76828, 93303, 93304, 93308]",gofundme,admin,39bf9336-891a-44f7-93f6-f7d26b8f4ad3,0b410132-f460-43b4-b73f-e3fa08de4146,39bf9336-891a-44f7-93f6-f7d26b8f4ad3,cb2f0ce6-4ab4-4123-8951-cad91f0af260,2025-05-23 08:02:51,,0,1,0,0,0
12,982173a5-b127-4ac4-ad08-6dbb7f4fdc48,Delivery comp imrt,project,contributor,e27c0c4a-4dd0-4169-91f0-8cf72482f059,c1f77469-e2c1-413b-80e4-fccf4efaa1bd,e27c0c4a-4dd0-4169-91f0-8cf72482f059,aa079560-994a-4b8c-ae31-5d66f1ea8b76,2025-02-17 20:10:32,,1,1,1,1,0
13,29141059-b42d-457b-a00c-214f740a67a8,X-ray exam hip uni 2-3 views,disbursement,guest,4b82cdaf-d445-4792-9018-4840f8a71e43,40011e5f-73d3-4d34-a5de-50b0977544a2,4b82cdaf-d445-4792-9018-4840f8a71e43,a69b5df4-be90-44ad-9cdb-363b44f58d6d,2025-06-01 23:27:54,,0,1,0,0,0
14,7f90b489-ec66-436d-b7a8-16a8ff2b584a,K flow/funct image w/o drug,default,editor,6722f288-ec68-466d-b56d-7e088c869ead,2a8f2883-ffc0-4b3d-a6d3-582bd22a7be3,6722f288-ec68-466d-b56d-7e088c869ead,84f61251-395e-470d-b883-2a37a6cfd6c7,2025-08-11 03:56:48,,0,1,0,0,1
15,e0f22509-cc57-43db-9b50-e0075ba4cf03,Nfct ds dna&rna 21 sarscov2,allocation,support,af39e79a-75fe-4f4e-babf-2dc4a0f46580,6da1b07f-05ac-4fbc-9123-7e850ed479ae,af39e79a-75fe-4f4e-babf-2dc4a0f46580,4061c4b9-0f76-4a39-974b-a0c8f33fd96a,2025-07-10 01:11:24,,0,1,0,0,0
