school_id,school_key,school_name,address,city,state,zip,phone,alt_phone,fax,school_level,low_grade,high_grade,NCESSCHID,locationNumber
15261,db6792ed-1aca-44ca-9322-b837c7bef2c5,İstanbul Şehir University,8199 Bucklin Court,San Antonio,TX,92710,(714) 898-0577,(714) 898-0577,(714) 898-0577,Middle School,Grade 6,C,db6792ed-1aca-44ca-9322-b837c7bef2c5,db6792ed-1aca-44ca-9322-b837c7bef2c5
1474,85e9417b-0521-4af4-a5e1-6a103f2aed0e,İstanbul Şehir University,1670 Carnation Court,San Antonio,TX,28289,(704) 314-7799,(704) 314-7799,(704) 314-7799,Middle School,Year 1,Credit,85e9417b-0521-4af4-a5e1-6a103f2aed0e,85e9417b-0521-4af4-a5e1-6a103f2aed0e
17443,0ee85ed2-7009-46a8-99fc-4421f437ac21,Örebro University,7857 Bougainvillea Avenue,El Paso,TX,70826,(225) 129-9625,(225) 129-9625,(225) 129-9625,Elementary,Year 2,Satisfactory,0ee85ed2-7009-46a8-99fc-4421f437ac21,0ee85ed2-7009-46a8-99fc-4421f437ac21
1162,fe2eb289-daa5-4ce4-8203-d7093b7f316e,Örebro University,2286 Heather Hill Loop,Los Angeles,CA,48505,(810) 145-8781,(810) 145-8781,(810) 145-8781,Secondary,Grade 8,D+,fe2eb289-daa5-4ce4-8203-d7093b7f316e,fe2eb289-daa5-4ce4-8203-d7093b7f316e
18609,4b3932e9-55cf-4d2f-92fd-161153a7d30f,"École nationale d'administration publique, Université du Québec",11740 Christopher Court,Erie,PA,61651,(309) 134-0754,(309) 134-0754,(309) 134-0754,Middle School,Grade 5,C+,4b3932e9-55cf-4d2f-92fd-161153a7d30f,4b3932e9-55cf-4d2f-92fd-161153a7d30f
3051,939369e8-f1d6-41af-8dda-1475445d7306,"École nationale d'administration publique, Université du Québec",3822 Francis Loop,Shawnee Mission,KS,45807,(419) 616-1077,(419) 616-1077,(419) 616-1077,Alternative School,Grade 6,C,939369e8-f1d6-41af-8dda-1475445d7306,939369e8-f1d6-41af-8dda-1475445d7306
19292,5055a312-3970-4e44-9436-314594f58576,École des Hautes Études Commerciales,1511 McMurtrie Loop,Minneapolis,MN,63116,(314) 277-7226,(314) 277-7226,(314) 277-7226,Primary,Year 1,Credit,5055a312-3970-4e44-9436-314594f58576,5055a312-3970-4e44-9436-314594f58576
18061,2eb87038-f31b-4921-bd71-4d68494476f8,École des Hautes Études Commerciales,3749 Kettering Court,Washington,DC,40745,(606) 220-9190,(606) 220-9190,(606) 220-9190,Vocational,Grade 2,B+,2eb87038-f31b-4921-bd71-4d68494476f8,2eb87038-f31b-4921-bd71-4d68494476f8
261,0c685d50-7a80-4481-be7a-c896d86e0128,École des Hautes Études Commerciales,14332 Bluffton Road,Santa Monica,CA,14652,(585) 510-7999,(585) 510-7999,(585) 510-7999,Alternative School,Grade 12,Pass,0c685d50-7a80-4481-be7a-c896d86e0128,0c685d50-7a80-4481-be7a-c896d86e0128
11845,0d8cf800-0708-4773-b8bd-90a228568c7e,"École de technologie supérieure, Université du Québec",4482 Harlow Lane,Houston,TX,46221,(317) 389-3877,(317) 389-3877,(317) 389-3877,Middle School,Grade 5,C+,0d8cf800-0708-4773-b8bd-90a228568c7e,0d8cf800-0708-4773-b8bd-90a228568c7e
