activity_ref_key,item_idx,category
2b0ba445-f905-4c92-9215-135d714071bf,2665,COVID Testing
b089dec1-3ca6-4cb2-9e62-8b483e4d4b74,12159,Airfare
4d031cde-d17e-48e1-86e0-1656639841b8,14917,After-School Programs
af080314-8093-415c-b17d-f5cf71e8c3cf,10306,Ventilation
e9edaf0f-e855-4458-92bf-513414fae8a2,1890,Desktops
641dd9c9-9a58-4530-8625-10a5a39940c6,6055,Before-School Care
07b48315-955d-4de5-97f1-add4d5d57a0b,552,Coding Club
b7481e96-bc4b-40e6-911a-e81939486a44,15745,Assemblies
3a0c2062-ad8b-4a35-8a4c-049015c645c1,6482,Uniforms
0efc4a8b-bfe8-4c34-89e1-41de8253d324,7913,Social Work
66d40ade-c920-4bf1-99b5-f9fa3d518416,7143,Assessments
73d2362c-24e0-4911-8fca-e7ba83c2a62c,17678,Legal Fees
76087cf9-9277-4fe9-9927-4579a73f3c07,10250,Marketing
e1c1b4a6-b369-4462-a4e0-084f7870ab42,9513,Basic Supplies
b00b4772-16a1-499a-aa91-7145224cab1d,3045,Wellness Programs
362747ee-f53c-499e-ab0c-44ec9c8605fc,3491,Leadership
0c04973a-b22f-422b-82df-3d044e83a5e5,16098,Busing
272ea284-5132-43fa-963f-460519bac6ff,12040,Water
f2d8718b-f948-4e0b-b788-d2bef1d20f99,1631,Geography
cbaec30a-a9fe-4eac-b29d-4f61d25a26c7,13551,Antivirus Software
7c639fa5-9858-48f1-8102-a38400f301d3,250,Violin
d2e96d65-8f94-4569-8d8d-5a2eb7ddd088,16721,Diplomas
782d4684-fb35-4452-9ccc-93693d0da143,10480,Social Distancing Markers
8eb5fa8f-dd2b-4dae-b187-03a2f6597427,12364,Team Uniforms
9636e2b3-93dc-45ca-8853-23af7106ef57,1167,Geometry Tutoring
d137b372-e899-4287-bd63-7a88432206ac,17437,History Tutoring
5109f44b-9b27-4c8e-93c0-608f31dd1477,17171,Student Clubs
0818c676-e40e-4239-94c9-5c2644ba2f5c,3844,Vehicle Maintenance
fdfe26bd-fa70-4dbb-be06-8c4f86bda6ac,6896,Public Health
c56285cf-91cd-44b8-a7e8-357ce50c7b73,1527,Balls
d9e1b14e-a441-4002-9403-bcf611f3d7f0,5104,Routers
16dc86b2-22a5-40f6-a7f4-dc32a7905b50,6705,Smartboards
4b0e4317-5dad-4820-bcee-7a2c535830eb,10377,Clinic Supplies
a4f089e9-d330-4448-ad14-b37bc51ed077,672,Science Kits
cd8f3cf7-130b-4145-88d3-8fabcde386ac,6978,Janitorial Supplies
c014dbe4-ba7e-4253-b465-90a2b0dcca6d,13335,Personnel Costs
e1ce9e12-d068-4ea8-a46d-45961f14f9aa,8228,Music Tutoring
9687d0e5-589f-418e-8cf6-8b09a83ce74b,15619,Outreach
13dfbfd8-1724-4064-aacb-8c7d8bde861b,8537,Study Skills
e4f06e2a-e987-4478-b1a6-a4d8fe221aaa,7374,Events
eec88156-f603-4d7d-a17b-893624af2773,12356,Monitors
58ee4e12-7c3a-4419-94d7-21034e80a5cc,16162,Construction
58c41bb6-c1d9-42b8-abd1-9e56a52088c1,335,ACT Exams
8d1d5e22-0150-4e10-b364-abd7e645bacf,14995,Chairs
4ceb7c02-56d7-41b6-94d0-07b11602316c,19052,Grant Administration
5b9208d4-4876-498b-992b-5daa51897150,11394,Pencils
458eb44d-f6db-48f2-8cb9-fbde11544f58,626,Math
96f7604c-a670-4e2b-9603-35fd6dcdf27f,1993,School Readiness
d570d75e-853e-4d6b-9533-adec3524b497,349,Physical Education
0009b8c6-e964-47d3-b356-b54af4b49919,574,Cones
66534ff0-b777-437c-9161-4854f1aad5b9,11748,Driver Salaries
db361241-f885-4d08-8e91-30408561cac4,19844,Science Tutoring
040ee0ab-184f-4748-8d3a-a1774206457c,12899,Cafeteria Supplies
ea37c3f7-9b27-4617-93bd-a6c2e7f2004a,3033,Private Tutoring
d628d594-a01d-48df-ab8b-ac544c2369f0,513,Creative Writing
b607256e-7070-4768-8717-33e14bc5f392,7560,Playground Equipment
ff42266f-02e3-4fd2-9056-f194456173bc,11706,Yoga
3409c0b3-9723-4c41-8914-299e82c44263,11123,Kitchen Staff
f0a05289-c511-4cef-b426-41c064973193,16493,Civics
201e1b13-df43-453f-b1a0-f983da474b82,1700,Roofing
da8925aa-cc0c-436c-827d-37c483559869,1571,Graduation Fees
9292e198-2d38-41fe-8767-b9088f3fe339,13545,Elective Tutoring
4e12cd07-18c8-43c4-a42a-50dca517b9bd,18531,Classroom Supplies
b2ae3f85-fccf-48a9-af69-45e61eb8662c,12708,Storage Cabinets
2449b509-d59a-4f33-b92b-b1638703b2a0,5484,Lab Equipment
51409650-1145-421d-88ef-d558ce2a0f8a,5716,Plumbing
0845430a-17c1-444d-a39f-59849e583a78,19388,Building Maintenance
faff1928-3cf8-4c1e-b2d2-a45f1ef03cc2,2822,Theater
6e06016a-e638-448d-b27d-99c395360c53,4883,Cloud Storage
0767ad35-d134-4019-a866-d1c9ce40a0a6,642,Instrument Repair
0dda7e90-6987-4262-a23d-fbed0b0dffe8,18803,Adapters
7ef5d9f4-a84b-4a97-af55-1d53d29b798f,4319,Conferences
d6d9bbf8-abc0-4a24-bedb-5b1f9b3af420,17489,SAT Exams
a5a55661-5fd5-45a9-9ea2-04a4e0ce4e2d,11771,IEP Support
f4ce4e43-dcee-4787-829a-afce279005fe,4157,Marketing
5d813c4f-a291-48ae-829d-5f145027b6fa,7187,Shipping
03aa1bda-cd6d-4d67-9eda-4c74c863def7,18170,Accounting
1e82a028-e9e6-49f5-a7d2-1e8ce9843007,18870,Gym Equipment
a006f6f6-a936-4e5f-94b3-8a86a81896d9,8475,French
4a155cc1-405f-4070-8d18-669c63b909fd,7546,Filing Cabinets
6d26ce6e-c0b5-4acf-838a-8b36d1cf0952,14606,Stage Equipment
a6091b1a-0a89-49d2-88e3-20e5dd30091b,19581,Tablets
2483ca57-dca8-408f-b054-03676fb4c560,12806,Sports
a44018eb-9d2e-467e-9a5d-6ed1fc489119,19490,Spanish Tutoring
724d9b8f-cbce-4868-a097-2a90fc3e9849,11732,College Prep
675409f5-2acc-4b49-a9af-2f5eef42c01e,7022,Student Wellness
2cae2ba6-6eee-4b6a-9a6c-82be7498b2f3,16455,Safety Training
ad211fe0-0a63-467e-8b6b-12f162582555,14244,Environmental Science
833df2dd-3caa-4253-84ef-d22be93cf9ac,1548,Quarterly Subscriptions
ae5e4adf-4c54-4c41-ab9c-7aa472092ac0,1179,Storage Devices
b547f13a-7c1b-4df9-8cbc-bb4cb9c8f989,5546,Academic Intervention
a2f86451-e44c-48ea-801a-56120ba30f12,9682,Vocational Training
5e26ed05-73f6-4c26-8702-22477f13aad6,782,Painting
77c4db25-290b-499c-98d4-42246a0ff297,2195,Nurse Supplies
2e41b271-60e3-4311-bead-3a08c05e32ef,13369,Alarm Systems
