activity_ref_key,item_id,item_idx,description,quantity,price,classification,classificationDomain,supplierPartID,manufacturerPartID,manufacturerName,sku,item_expense_category_id,allowable_status,classification_confidence,unspsc_name
2b0ba445-f905-4c92-9215-135d714071bf,17ad6854-d85b-48bd-a088-13bf23a07b5c,1,Personal massager for muscle recovery.,2,79.99,Restricted,Construction,17ad6854-d85b-48bd-a088-13bf23a07b5c,17ad6854-d85b-48bd-a088-13bf23a07b5c,Sunrise Textiles,17ad6854-d85b-48bd-a088-13bf23a07b5c,2,14,13,Agricultural Supplies
b089dec1-3ca6-4cb2-9e62-8b483e4d4b74,cd00f44c-cc7e-4145-aab3-f994c4eb07ed,2,Bluetooth thermometer that alerts you when your meat is done.,12,39.99,Confidential,Legal,cd00f44c-cc7e-4145-aab3-f994c4eb07ed,cd00f44c-cc7e-4145-aab3-f994c4eb07ed,Atlas Engineering,cd00f44c-cc7e-4145-aab3-f994c4eb07ed,12,121,95,Safety and Security Equipment
4d031cde-d17e-48e1-86e0-1656639841b8,3c8abb15-dc7e-4892-8a7e-554d36d27979,3,Smooth and creamy smoothie made with peanut butter and banana.,16,3.99,Internal Use Only,Education,3c8abb15-dc7e-4892-8a7e-554d36d27979,3c8abb15-dc7e-4892-8a7e-554d36d27979,Acme Industries,3c8abb15-dc7e-4892-8a7e-554d36d27979,16,63,100,Medical Equipment
af080314-8093-415c-b17d-f5cf71e8c3cf,94ce9eaf-911b-48c7-8cd7-34e70790ee4c,4,"Creamy cottage cheese, perfect for healthy snacking.",9,2.99,Public,Telecommunications,94ce9eaf-911b-48c7-8cd7-34e70790ee4c,94ce9eaf-911b-48c7-8cd7-34e70790ee4c,Precision Optics,94ce9eaf-911b-48c7-8cd7-34e70790ee4c,9,124,75,Furniture and Furnishings
e9edaf0f-e855-4458-92bf-513414fae8a2,4c440d74-8b8a-45b8-841f-7df1d4281589,5,Planter with self-watering feature for easy plant care.,9,24.99,Sensitive,Pharmaceuticals,4c440d74-8b8a-45b8-841f-7df1d4281589,4c440d74-8b8a-45b8-841f-7df1d4281589,Evergreen Plastics,4c440d74-8b8a-45b8-841f-7df1d4281589,9,41,68,Sports and Recreational Equipment
641dd9c9-9a58-4530-8625-10a5a39940c6,76c691c1-dce5-4c2f-bc8c-ad1943763cc0,6,Savory wraps with buffalo chicken and fresh vegetables.,8,5.99,Top Secret,Finance,76c691c1-dce5-4c2f-bc8c-ad1943763cc0,76c691c1-dce5-4c2f-bc8c-ad1943763cc0,GlobalTech Solutions,76c691c1-dce5-4c2f-bc8c-ad1943763cc0,8,116,65,Office Supplies
07b48315-955d-4de5-97f1-add4d5d57a0b,95146a96-d40a-43ec-8490-3e9010930ac8,7,Stackable steamers for healthy cooking of vegetables and seafood.,6,39.99,Proprietary,Food Services,95146a96-d40a-43ec-8490-3e9010930ac8,95146a96-d40a-43ec-8490-3e9010930ac8,Starlight Components,95146a96-d40a-43ec-8490-3e9010930ac8,6,65,50,Software and Licenses
b7481e96-bc4b-40e6-911a-e81939486a44,47871309-6bd9-49bb-b988-30300c4d6f3b,8,Moist and flavorful muffins packed with fall spices and pumpkin puree.,13,3.99,For Official Use Only,Hospitality,47871309-6bd9-49bb-b988-30300c4d6f3b,47871309-6bd9-49bb-b988-30300c4d6f3b,Summit Automotive,47871309-6bd9-49bb-b988-30300c4d6f3b,13,42,100,Telecommunications Equipment
3a0c2062-ad8b-4a35-8a4c-049015c645c1,6a28c82e-92c2-460b-9355-0e356acc340a,9,Set of three aromatic candles with various scents.,12,19.99,Highly Confidential,Retail,6a28c82e-92c2-460b-9355-0e356acc340a,6a28c82e-92c2-460b-9355-0e356acc340a,Vertex Electronics,6a28c82e-92c2-460b-9355-0e356acc340a,12,9,93,Laboratory Instruments
0efc4a8b-bfe8-4c34-89e1-41de8253d324,09dae12a-ec48-45a7-8d84-9c55e397d925,10,"Frozen pizza rolls stuffed with spinach and cheese, perfect for snacking.",11,4.99,Unclassified,Government,09dae12a-ec48-45a7-8d84-9c55e397d925,09dae12a-ec48-45a7-8d84-9c55e397d925,NovaChem Labs,09dae12a-ec48-45a7-8d84-9c55e397d925,11,98,91,Automotive Parts
