distribution_id,distribution_key,title,type,user_role,created_by_user_key,school_key,district_key,organization_key,expiration_date,expire_offset,active,allow_direct_pay,allow_reimbursements,allow_marketplace,is_shared
1,377cf2da-bd49-4eb7-b157-f7e95223f7ea,Onc urthl ca rna fgfr3 gene,disbursement,editor,1c09a51a-afc7-4f9e-af87-18032ff28d51,4ff828ab-0091-4921-832c-12fc2897ad8f,1c09a51a-afc7-4f9e-af87-18032ff28d51,eecd4421-368f-4f19-88ec-3a944207837e,2025-04-09 01:26:12,,1,1,1,1,1
2,2f65792d-f3bd-496c-95ee-04657428ef39,I131 max 100uCi,project,admin,c94aaaef-39b9-4f02-b923-e942dc20f9d2,bcbb8c22-ddde-4909-b893-a0ecba46f0de,c94aaaef-39b9-4f02-b923-e942dc20f9d2,dadb639f-34b3-4ba5-85e6-92a13df28fe6,2025-07-29 07:03:01,,0,1,0,0,0
3,99f3fc31-385e-4366-b0c0-fbf7f8fed5bd,Ct neck spine w/o & w/dye,default,guest,832b83dd-fcde-4a28-b875-7a1c1f60c86a,,,af20fd13-d189-4278-ad4e-fe8a53e2b8f6,2024-10-31 09:07:29,,1,1,1,1,
4,a017527b-6817-4c97-bca1-4a023eacfd79,Rp loclzj tum whbdy 1 d img,gofundme,support,47f0fb52-480c-44b3-a3b0-4695a96a4855,7136a7f3-e769-4b8c-9a81-f0c7b1c6a548,47f0fb52-480c-44b3-a3b0-4695a96a4855,3a6ca624-c463-4622-983c-e688e66b48c2,2025-08-01 22:25:42,,0,1,0,0,1
5,097f4155-11a9-4eb0-8d42-23f7d1373988,Rx metab/pcx dna 16 gen alys,allocation,viewer,2a50b594-4ab2-4d71-b600-140470f4645a,bcef5fb4-1d7e-4b71-8777-0d7f921d3246,2a50b594-4ab2-4d71-b600-140470f4645a,72017e0c-31f4-4bad-abf1-8520c3b74394,2025-04-23 02:13:17,,1,1,1,1,0
6,c76fe2e3-3dd2-4a5e-902f-5b379a0b131f,Meckels divert exam,gofundme,super_admin,2f65792d-f3bd-496c-95ee-04657428ef39,ac49272f-c3ba-4783-ba9f-089055e9a980,2f65792d-f3bd-496c-95ee-04657428ef39,6bd73937-eab6-4dab-9f0d-6e51c768e502,2025-03-25 03:43:32,,1,1,1,1,1
7,1bf03ef1-20f6-45fd-bd42-a4f4f983b8c5,Radiation treatment delivery,allocation,moderator,314f828e-db9b-4ff7-b498-4bd3ad1a9eba,94e35626-bc0d-4e76-a3b0-9e737a3e9493,314f828e-db9b-4ff7-b498-4bd3ad1a9eba,0e6aa0f9-daa7-4993-9427-21f5f9a4ea06,2025-03-26 23:54:00,,1,1,1,1,1
8,e692db0f-1d97-493d-9be8-c29842fd75f8,Radiology port film(s),disbursement,contributor,7e910e85-89bb-46eb-944f-9976131641c8,aac0d565-d856-40eb-b553-d698dd23d746,7e910e85-89bb-46eb-944f-9976131641c8,e2796b3f-703c-4d91-8c85-af4ef7ac05ec,2025-02-14 08:34:17,,1,1,1,1,
9,24936a96-2a63-4825-b175-a6a5aecc0a9a,Radiation treatment delivery,project,user,b783b8f1-7a69-4d01-8bc5-691decbe4015,aa011663-bc10-4bd6-b2f8-d50a8cffe4a3,b783b8f1-7a69-4d01-8bc5-691decbe4015,ea037148-d6ce-4541-b852-84d8d24b0ff3,2024-12-10 07:18:27,,1,1,1,1,
10,81c8e4c0-ee41-4534-b141-a2d78b4bcd95,Caregiver traing 1st 30 min,default,manager,99f3fc31-385e-4366-b0c0-fbf7f8fed5bd,c1761699-d31f-41c7-abd1-b36f8a3d03c6,99f3fc31-385e-4366-b0c0-fbf7f8fed5bd,99c07eaf-2ff4-4d54-a5e4-87054cd61f63,2025-02-09 05:41:05,,1,1,1,1,
11,427cd7cf-c1fa-4904-8ae2-14b72c690469,Img rta detcj/mntr ds staff,disbursement,moderator,4ff968e8-a9fe-497e-9580-3211826b9074,,,8768afb1-dbf0-469b-a8d8-dcc0334c0080,2024-11-20 13:39:12,,1,1,1,1,
12,3fec3d5d-876d-4dc7-b274-e76eb8c33c07,"Brachytx, non-stranded,C-131",gofundme,contributor,fd29c657-99c6-483c-b72d-5108d9c260c1,8b7e5bed-b197-44de-8b7e-2211c6a7a404,fd29c657-99c6-483c-b72d-5108d9c260c1,12cc0a92-9c44-4283-b50b-a2c5c0423372,2024-12-19 07:46:22,,1,1,1,1,
13,824fd6de-5d29-40a2-b31c-f4385c166697,Onc prst8 xom aly 442 sncrna,default,user,838de930-a7e7-4c77-8f40-30ae6f358b52,ed28e2e7-7f10-4a10-a493-0d7b56e28dbc,838de930-a7e7-4c77-8f40-30ae6f358b52,11d22a1f-0a66-41d5-9dea-cb0ece20142a,2025-02-17 17:01:55,,1,1,1,1,1
14,0a330481-f7ce-43a7-b873-9a44c3a36bfb,Hem aut dm cgen trmbctpna 22,allocation,manager,857d00c9-502f-48ed-9b1a-dbbda7064d85,e19c2c86-dd13-45da-9dd8-21d1d9e927f8,857d00c9-502f-48ed-9b1a-dbbda7064d85,d8281e6b-bd7b-4deb-80a8-849f6547d4b3,2025-02-19 16:41:46,,1,1,1,1,1
15,0d20ed56-48e2-4787-9dd3-b865554830d1,Lung perfusion imaging,project,editor,12cc0a92-9c44-4283-b50b-a2c5c0423372,dc8c2a97-da25-4ad5-b4b5-b15f37000f37,12cc0a92-9c44-4283-b50b-a2c5c0423372,e85dd74d-fc91-4fe0-8fcf-ca3ecba25efe,2025-03-07 15:01:27,,1,1,1,1,1
16,657e8a1e-0297-4c5e-87a6-1afd8c6f0bcf,Paraffin bath therapy,disbursement,admin,738131be-ae3e-4aae-8aa5-3b9bc98ce097,ab802249-1dec-4c08-8427-92769ed471f2,738131be-ae3e-4aae-8aa5-3b9bc98ce097,3a32ee3a-18f8-4b55-a86a-4f4cecdd02bb,2025-09-18 20:54:42,,0,1,0,0,1
17,ff35ec4a-9cea-4756-8dfa-a79626788ace,Colon ca scrn;bld-bsd biomrk,gofundme,guest,5c1478f9-19ba-438a-98e4-905e7fdb384a,bb4bde8c-35c4-459e-8ea9-0c06caa40897,5c1478f9-19ba-438a-98e4-905e7fdb384a,7b8c3434-2008-40ed-9ee0-5970c28f4a63,2024-12-06 01:49:27,,1,1,1,1,
18,c94aaaef-39b9-4f02-b923-e942dc20f9d2,Ct maxillofacial w/dye,default,support,0fa6882c-760c-4771-befb-c50fe21d9ea7,28dd1fbe-df42-4739-9084-34d2703c41f9,0fa6882c-760c-4771-befb-c50fe21d9ea7,b57ab9fc-1508-4edb-a8a3-7eb9d4738837,2025-06-25 15:32:32,,0,1,0,0,1
19,47f0fb52-480c-44b3-a3b0-4695a96a4855,Iodine I-123 ioflupane,allocation,viewer,f20208ed-6878-42ee-ab1a-2f222ffc8104,,,de3c8470-9bf6-4071-bb1e-0359fcaea20b,2024-11-13 02:38:53,,1,1,1,1,
20,a1dcee8f-5fd1-44fa-8073-806512de3e54,Nfct agt sti mult amp prb tq,project,super_admin,8b85079c-2d3c-459d-9b49-2748c44e63e1,5f81c339-eaa2-4710-8d53-f3eb1aa4fd71,8b85079c-2d3c-459d-9b49-2748c44e63e1,a14dd5c2-ee56-415d-ba85-ac56b12ca21a,2025-09-02 22:47:23,,0,1,0,0,1
21,c851da6c-22b6-4b96-87c3-83e3e3108b51,Mri chest w/dye,default,super_admin,a4581de1-c200-46ce-8f0f-e26db2f87ffb,6c5668f9-0ce5-4379-9d09-a6f59b34e41c,a4581de1-c200-46ce-8f0f-e26db2f87ffb,3258639e-1307-4319-bfc5-ed15cab861fa,2025-02-14 09:42:48,,1,1,1,1,
22,cb49f066-be85-4083-bb32-52f32818af79,Nuclear rx intra-articular,allocation,user,a992e774-4ca9-4d0e-91e5-7e7b7e9c473b,928c210f-b87c-4a16-a5bf-318447504963,a992e774-4ca9-4d0e-91e5-7e7b7e9c473b,f5eff6ae-0a9c-4ea5-a24b-a5d749a69a08,2025-04-19 21:06:33,,1,1,1,1,1
23,08ecae27-ccf2-486e-9918-2eb306d23f0f,Ob fetal ag nipt cfdna alys,gofundme,manager,cd9b13c2-9998-4563-9d09-afc9bfdad9e0,8a950bd8-07b1-4f23-806b-f182b07bca01,cd9b13c2-9998-4563-9d09-afc9bfdad9e0,fbd90540-992a-4173-a8d0-55d822a5b6c6,2025-08-12 00:57:41,,0,1,0,0,1
24,671b0e44-330d-46c7-8109-dff8e55f5380,Tactile breast img uni/bi,project,admin,88704f91-65a9-4622-b68d-f0f910062925,c0c56837-94de-44a1-b2f2-43092f0e9024,88704f91-65a9-4622-b68d-f0f910062925,c773f5ab-8f9e-494d-a00c-dcf2049da9ef,2025-05-14 00:37:39,,0,1,0,0,1
25,40413f56-4f1a-4219-9104-b0d0f7a44bcc,Ct breast w/3d bi c+,disbursement,support,e5bdf6ba-0dbc-4481-b91e-b8c844ce155e,d89c5272-65cc-4862-b10c-46cf0e3a6801,e5bdf6ba-0dbc-4481-b91e-b8c844ce155e,d7f404ff-db4f-4328-bfcc-3023b3391dd9,2025-09-28 23:33:30,,0,1,0,0,0
26,2a50b594-4ab2-4d71-b600-140470f4645a,Red cell survival study,disbursement,viewer,fbbe6e4d-babf-42b7-8e05-725a9e79b1d0,afb30af6-50ff-4808-a192-79593356daf8,fbbe6e4d-babf-42b7-8e05-725a9e79b1d0,40679245-d5a4-4aaf-af37-c52ea54abb73,2025-02-09 04:01:44,,1,1,1,1,
27,37ba605b-d496-46d1-9f71-a5c17a96c6b9,Hepb vacc 3 dose immunsup im,default,guest,0a330481-f7ce-43a7-b873-9a44c3a36bfb,056d4b2e-e3e9-4be2-b505-e0696b57be89,0a330481-f7ce-43a7-b873-9a44c3a36bfb,ff35ec4a-9cea-4756-8dfa-a79626788ace,2025-10-02 17:25:08,,0,1,0,0,1
28,da8bdc84-e2a6-4ff5-a954-a1a0091d9239,Onc clrc bld quan meas cfdna,allocation,moderator,377cf2da-bd49-4eb7-b157-f7e95223f7ea,9cdad3ca-6423-4d09-8e96-22ca0e6dd0c8,377cf2da-bd49-4eb7-b157-f7e95223f7ea,377cf2da-bd49-4eb7-b157-f7e95223f7ea,2025-01-22 10:05:40,,1,1,1,1,
29,314f828e-db9b-4ff7-b498-4bd3ad1a9eba,X-ray exam of salivary gland,gofundme,editor,cb49f066-be85-4083-bb32-52f32818af79,81a3ebd0-05cb-4941-84e2-5b4af3856ad2,cb49f066-be85-4083-bb32-52f32818af79,da5cb143-a444-4eb2-aa5e-2160fb578688,2024-12-20 04:59:11,,1,1,1,1,
30,0fa6882c-760c-4771-befb-c50fe21d9ea7,X-ray exam of thoracic spine,project,contributor,68fe04c3-da7c-4507-b919-ef5809790c73,c7241748-6d75-4745-9aab-4824452de869,68fe04c3-da7c-4507-b919-ef5809790c73,0c4ceb7e-79e1-4a66-b477-7b44afcb4960,2025-08-08 00:39:20,,0,1,0,0,0
