school_id,school_key,school_name,address,city,state,zip,phone,alt_phone,fax,school_level,low_grade,high_grade,NCESSCHID,locationNumber
6900,affaf5e9-3b9a-4b02-a0e1-0befda6b8db1,Knoxville College,5039 French Oak Avenue,Boise,ID,35220,(205) 515-5040,(205) 515-5040,(205) 515-5040,Primary,Transitional Kindergarten,High Distinction,affaf5e9-3b9a-4b02-a0e1-0befda6b8db1,00AAAQ3574145546
17542,21885453-c284-4cdc-9e80-4e56b752bd12,Auchi Polytechnic,7298 Tenney Lane,Bakersfield,CA,45505,(937) 132-3153,(937) 132-3153,(937) 132-3153,Secondary,Reception,Merit,21885453-c284-4cdc-9e80-4e56b752bd12,00AAXD4796101112
10222,5fe31bf0-c203-454a-920a-3097946f05e3,"DeVry Institute of Technology, DuPage",12112 Monroe Terrace,Silver Spring,MD,07505,(862) 921-7176,(862) 921-7176,(862) 921-7176,Kindergarten,Year 1,Credit,5fe31bf0-c203-454a-920a-3097946f05e3,00AIMX6688614366
14255,145b1cb4-eb26-4ca3-8eeb-c8d2a3ec181f,"East-West University, Mohakhali",2495 San Jose Place,Little Rock,AR,77293,(281) 388-2700,(281) 388-2700,(281) 388-2700,Pre-Kindergarten,Grade 12,Pass,145b1cb4-eb26-4ca3-8eeb-c8d2a3ec181f,00ALWM0165320300
10594,389f402a-216b-496d-b0b3-73958ac7959b,Rivier College,8740 Naman Court,Richmond,VA,33710,(727) 460-3273,(727) 460-3273,(727) 460-3273,Secondary,Year 2,Satisfactory,389f402a-216b-496d-b0b3-73958ac7959b,00AMMJ2917359871
19337,d6654139-c22e-4fa7-8aa5-b539dcd2aefa,University of Science and Arts of Oklahoma,10075 Kimmons Lane,Santa Barbara,CA,90810,(562) 098-0015,(562) 098-0015,(562) 098-0015,Secondary,Grade 6,C,d6654139-c22e-4fa7-8aa5-b539dcd2aefa,00AOLA1954188212
4514,649c0976-4ac3-4afe-96b3-ebe8e53dede7,University of Maryland Medicine,14401 Lone Palm Avenue,Philadelphia,PA,95155,(408) 963-2556,(408) 963-2556,(408) 963-2556,Vocational,Grade 4,B-,649c0976-4ac3-4afe-96b3-ebe8e53dede7,00ATFG8460892965
18107,7e637c55-e393-4a9c-a5ec-1139575481d1,Washington State University,6281 Colerain Circle,Springfield,VA,66699,(785) 357-2557,(785) 357-2557,(785) 357-2557,Elementary,Year 2,Satisfactory,7e637c55-e393-4a9c-a5ec-1139575481d1,00AYEM6050449250
18419,3114cd45-9142-4cf5-85e0-f0d81a4506da,Université Cheikh Anta Diop,836 Angel Avenue,Evanston,IL,01152,(413) 286-7842,(413) 286-7842,(413) 286-7842,Alternative School,Grade 1,A-,3114cd45-9142-4cf5-85e0-f0d81a4506da,00AYUK7550611174
18892,829161f9-fbcd-424d-beda-27e6d6e47a4e,Multnomah Bible College,12268 Megan Circle,Colorado Springs,CO,44185,(216) 158-3239,(216) 158-3239,(216) 158-3239,Pre-Kindergarten,Reception,Merit,829161f9-fbcd-424d-beda-27e6d6e47a4e,00BASH6782843574
16882,03c449b3-9073-4e1d-8bd7-998d144526ad,Beijing University of Agriculture,12065 Lisa Lane,Tucson,AZ,38168,(901) 871-6467,(901) 871-6467,(901) 871-6467,Alternative School,Year 2,Satisfactory,03c449b3-9073-4e1d-8bd7-998d144526ad,00BGGI9583834478
14275,820f5acf-a701-4faf-bf6e-395b2f8ab555,Weber State University,11803 Cimarron Avenue,Washington,DC,27157,(336) 282-8998,(336) 282-8998,(336) 282-8998,Primary,Grade 11,F,820f5acf-a701-4faf-bf6e-395b2f8ab555,00BIZX3482955116
6146,6797f920-57e1-40c4-8870-8c8abe823db7,Rust College,5732 Umland Lane,Fort Smith,AR,92186,(619) 455-1088,(619) 455-1088,(619) 455-1088,Special Education,Kindergarten,A+,6797f920-57e1-40c4-8870-8c8abe823db7,00BKIS3812481916
7957,b691c372-ef34-49ad-8a78-20fd3adeb793,University of Southeastern Philippines,10377 Einsgrove Way,Evanston,IL,90045,(213) 310-1029,(213) 310-1029,(213) 310-1029,Special Education,Grade 4,B-,b691c372-ef34-49ad-8a78-20fd3adeb793,00BLOH0503256536
555,c1ac057e-0f3b-4fe9-982f-a270b9656613,Université Val-de-Marne (Paris XII),12968 Cadiz Terrace,Birmingham,AL,77713,(409) 631-5824,(409) 631-5824,(409) 631-5824,Vocational,Grade 4,B-,c1ac057e-0f3b-4fe9-982f-a270b9656613,00BMSP3841050120
5506,6114e468-3a68-4ae9-a189-976d39963f03,"Troy University, Montgomery",4884 Mi Tierra Way,Fort Lauderdale,FL,02905,(401) 512-3490,(401) 512-3490,(401) 512-3490,Primary,Grade 12,Pass,6114e468-3a68-4ae9-a189-976d39963f03,00BQYS8804353986
4724,503cb6ff-0e6d-4978-b080-d3eaebf590c4,Pedagogical University of Rzeszow,8942 Jewel Court,Philadelphia,PA,60351,(309) 881-6681,(309) 881-6681,(309) 881-6681,Secondary,Grade 1,A-,503cb6ff-0e6d-4978-b080-d3eaebf590c4,00BZWR4744780579
8286,b0d0c58b-7fe0-46f6-b701-198f3452df5a,Nippon Bunri University,3989 Flanders Place,Saint Paul,MN,40581,(859) 823-9497,(859) 823-9497,(859) 823-9497,Alternative School,Year 1,Credit,b0d0c58b-7fe0-46f6-b701-198f3452df5a,00CFDU9510331451
5326,5b759f93-fa60-4ded-9f2f-8f69278ad7fc,St. Martin's College,14603 Cordelia Place,Fort Lauderdale,FL,23705,(757) 416-6610,(757) 416-6610,(757) 416-6610,Secondary,Grade 5,C+,5b759f93-fa60-4ded-9f2f-8f69278ad7fc,00CJKY5681031324
6896,e1385643-928b-4920-88d9-09e72fdee8be,"Schiller International University, London",1559 Alan Avenue,San Diego,CA,75205,(972) 182-0762,(972) 182-0762,(972) 182-0762,Alternative School,Year 3,Unsatisfactory,e1385643-928b-4920-88d9-09e72fdee8be,00CNDU1856117076
10675,aeb8a1b0-b65d-47df-a1b9-ede81bbd79c1,Politeknik Negeri Malang,710 Brody Court,Pompano Beach,FL,66617,(785) 483-0347,(785) 483-0347,(785) 483-0347,Special Education,Grade 4,B-,aeb8a1b0-b65d-47df-a1b9-ede81bbd79c1,00CNJN5050907566
