school_id,school_key,school_name,address,city,state,zip,phone,alt_phone,fax,school_level,low_grade,high_grade,NCESSCHID,locationNumber
2,b4df50e8-f874-4f09-af0f-38916c29626e,Universitas Muhammadiyah Magelang,5255 Ventura Drive,Winston Salem,North Carolina,27110,(336) 802-0198,(336) 802-0198,(336) 802-0198,Adult Education,Early Childhood,Withdrawn,b4df50e8-f874-4f09-af0f-38916c29626e,b4df50e8-f874-4f09-af0f-38916c29626e
19,77e14d63-6fdd-48d4-ae8b-c3a4eb2b8193,Universidad Austral Buenos Aires,205 Fort Terrace,Las Vegas,Nevada,89135,(702) 081-5266,(702) 081-5266,(702) 081-5266,Adult Education,Grade 1,Incomplete,77e14d63-6fdd-48d4-ae8b-c3a4eb2b8193,77e14d63-6fdd-48d4-ae8b-c3a4eb2b8193
30,cc57b9bc-e2d9-47fc-bb37-58f62f46d8ea,University of Nebraska (System),7379 Botello Avenue,Jersey City,New Jersey,07310,(201) 544-3723,(201) 544-3723,(201) 544-3723,Adult Education,Grade 7,A-,cc57b9bc-e2d9-47fc-bb37-58f62f46d8ea,cc57b9bc-e2d9-47fc-bb37-58f62f46d8ea
38,9945f540-1ab1-4fad-bfa3-7a857adf713d,Bamenda University of Science & Technology,464 Jeffers Terrace,Reston,Virginia,22096,(571) 907-7701,(571) 907-7701,(571) 907-7701,Adult Education,Grade 2,F,9945f540-1ab1-4fad-bfa3-7a857adf713d,9945f540-1ab1-4fad-bfa3-7a857adf713d
44,61752bf1-34c2-4004-9df4-5f4b929de327,University of Denver,9462 Key Street,Grand Rapids,Michigan,49560,(616) 168-7210,(616) 168-7210,(616) 168-7210,Adult Education,Nursery,B-,61752bf1-34c2-4004-9df4-5f4b929de327,61752bf1-34c2-4004-9df4-5f4b929de327
52,172a078d-1c08-4dbe-af46-8c22716fded8,Kerman University of Medical Sciences,10698 Robertson Way,North Little Rock,Arkansas,72199,(501) 473-0203,(501) 473-0203,(501) 473-0203,Adult Education,Grade 7,C+,172a078d-1c08-4dbe-af46-8c22716fded8,172a078d-1c08-4dbe-af46-8c22716fded8
62,b7b1ac8b-d799-4f70-b7ad-7fbdab5171d8,Universidade Católica de Moçambique,12544 Miragalia Lane,Dayton,Ohio,45414,(937) 304-3751,(937) 304-3751,(937) 304-3751,Adult Education,Early Childhood,A+,b7b1ac8b-d799-4f70-b7ad-7fbdab5171d8,b7b1ac8b-d799-4f70-b7ad-7fbdab5171d8
74,e07ad007-3912-41f8-8105-4f2b68083f46,Sharif University of Technology,3125 Perez Place,Erie,Pennsylvania,16550,(814) 804-6184,(814) 804-6184,(814) 804-6184,Adult Education,Kindergarten,Satisfactory,e07ad007-3912-41f8-8105-4f2b68083f46,e07ad007-3912-41f8-8105-4f2b68083f46
90,d0c1c04d-4667-4a6c-9f2f-6188e6b31f9f,Roger Williams University,3823 Surrey Lane,Columbus,Ohio,43231,(614) 206-5693,(614) 206-5693,(614) 206-5693,Adult Education,Grade 9,A+,d0c1c04d-4667-4a6c-9f2f-6188e6b31f9f,d0c1c04d-4667-4a6c-9f2f-6188e6b31f9f
98,672687d7-00a1-4257-8cbe-a46a0505e9a8,"Fachhochschule Reutlingen, Hochschule für Technik und Wirtschaft",3100 Fernandes Court,Phoenix,Arizona,85015,(480) 890-4201,(480) 890-4201,(480) 890-4201,Adult Education,Pre-Kindergarten,F,672687d7-00a1-4257-8cbe-a46a0505e9a8,672687d7-00a1-4257-8cbe-a46a0505e9a8
106,504d69d5-911a-4ffa-98c1-3ec053126b41,Victoria University,7377 Crane Doran Place,Montgomery,Alabama,36134,(334) 144-2552,(334) 144-2552,(334) 144-2552,Adult Education,Infant,A+,504d69d5-911a-4ffa-98c1-3ec053126b41,504d69d5-911a-4ffa-98c1-3ec053126b41
113,9fc0fd11-4404-4794-bbdb-554c0c21b717,Free University Stockholm,3060 Walden Way,Austin,Texas,78754,(512) 420-9478,(512) 420-9478,(512) 420-9478,Adult Education,Grade 12,B-,9fc0fd11-4404-4794-bbdb-554c0c21b717,9fc0fd11-4404-4794-bbdb-554c0c21b717
123,2e483349-84d5-4af9-8204-6b188790751b,Universidad de Flores - Buenos Aires,9096 Fenimore Lane,Garland,Texas,75044,(972) 993-7969,(972) 993-7969,(972) 993-7969,Adult Education,Pre-Kindergarten,D-,2e483349-84d5-4af9-8204-6b188790751b,2e483349-84d5-4af9-8204-6b188790751b
140,f0939b92-da94-4150-bbb4-be55942b55d1,Rhodes College,14492 Elijah Loop,Chicago,Illinois,60619,(773) 345-1441,(773) 345-1441,(773) 345-1441,Adult Education,Junior Kindergarten,Pass,f0939b92-da94-4150-bbb4-be55942b55d1,f0939b92-da94-4150-bbb4-be55942b55d1
149,47d8eb15-1691-4755-8002-4874193e376d,Nagoya Economics University,7026 Keystone Court,Rochester,New York,14646,(585) 346-3441,(585) 346-3441,(585) 346-3441,Adult Education,Grade 9,D+,47d8eb15-1691-4755-8002-4874193e376d,47d8eb15-1691-4755-8002-4874193e376d
160,a5e1fb8b-59dd-4d67-85a8-e2d65058d7c4,Medical University Varna,13678 Caruthers Path,Savannah,Georgia,31416,(912) 886-6140,(912) 886-6140,(912) 886-6140,Adult Education,Grade 5,C-,a5e1fb8b-59dd-4d67-85a8-e2d65058d7c4,a5e1fb8b-59dd-4d67-85a8-e2d65058d7c4
169,b8b24832-a735-44f8-bdb6-f1f0d5d8db17,Technological University (Taunggyi),12742 Eby Place,Daytona Beach,Florida,32128,(386) 710-9164,(386) 710-9164,(386) 710-9164,Adult Education,Grade 1,No Credit,b8b24832-a735-44f8-bdb6-f1f0d5d8db17,b8b24832-a735-44f8-bdb6-f1f0d5d8db17
