activity_ref_key,item_id,item_idx,description,quantity,price,classification,classificationDomain,supplierPartID,manufacturerPartID,manufacturerName,sku,item_expense_category_id,allowable_status,classification_confidence,unspsc_name
36cd7f69-df76-4631-9415-7253c366824b,37cf035c-15ac-44ce-8c8f-451cb82ad580,1,Creamy and crumbly cheese for salads and dishes.,12,4.99,Proprietary,Technology,37cf035c-15ac-44ce-8c8f-451cb82ad580,37cf035c-15ac-44ce-8c8f-451cb82ad580,"Safe Bulkers, Inc",37cf035c-15ac-44ce-8c8f-451cb82ad580,1,127,97,Construction Materials
9278463f-4cf8-4eec-9618-01956de3a9cd,2125227b-4954-4845-8a71-d276c260c955,2,"Sweet and salty popcorn with sea salt and caramel, a tasty treat.",9,3.99,Confidential,Retail,2125227b-4954-4845-8a71-d276c260c955,2125227b-4954-4845-8a71-d276c260c955,Dick's Sporting Goods Inc,2125227b-4954-4845-8a71-d276c260c955,2,29,75,Laboratory Equipment
7d494908-4ce1-4855-8232-2d2db2f6b048,8862726d-ef9a-4bfb-9eb8-5db259413592,3,Learning tablet with kid-friendly educational apps.,13,129.99,For Official Use Only,Entertainment,8862726d-ef9a-4bfb-9eb8-5db259413592,8862726d-ef9a-4bfb-9eb8-5db259413592,SuperValu Inc.,8862726d-ef9a-4bfb-9eb8-5db259413592,3,15,100,Industrial Machinery
f9e1e437-3a9c-4126-a8da-f826a0914500,879a0afd-2787-40d7-8856-7b89e11fda07,4,"Refreshing and tangy fermented tea, available in various flavors.",6,3.49,Sensitive,Aerospace,879a0afd-2787-40d7-8856-7b89e11fda07,879a0afd-2787-40d7-8856-7b89e11fda07,Sotherly Hotels Inc.,879a0afd-2787-40d7-8856-7b89e11fda07,4,122,46,Financial Services
d29299a8-9fc2-4d5f-b1de-7c804747f2cc,fa360e78-0711-45bb-9975-b67e83918370,5,High-quality sketchbook for artists.,10,14.99,Restricted,Legal,fa360e78-0711-45bb-9975-b67e83918370,fa360e78-0711-45bb-9975-b67e83918370,PBF Energy Inc.,fa360e78-0711-45bb-9975-b67e83918370,5,19,78,Electrical Components
27088e32-1c71-4612-8108-bc8cb60f08f6,99b70011-8c7f-4813-8534-1a8f0ce08d60,6,Non-stick and reusable mats for easy baking.,18,24.99,Public,Finance,99b70011-8c7f-4813-8534-1a8f0ce08d60,99b70011-8c7f-4813-8534-1a8f0ce08d60,"Synopsys, Inc.",99b70011-8c7f-4813-8534-1a8f0ce08d60,6,114,100,Computer Hardware
d091461a-476a-45f1-b6c9-1e9ab0907c1a,71862d7d-5190-4ae7-bda9-0e9d8cbd2612,7,Healthy snack bars packed with oats and fruit.,12,4.29,Top Secret,Agriculture,71862d7d-5190-4ae7-bda9-0e9d8cbd2612,71862d7d-5190-4ae7-bda9-0e9d8cbd2612,"MIDSTATES PETROLEUM COMPANY, INC.",71862d7d-5190-4ae7-bda9-0e9d8cbd2612,7,40,95,Printing Services
e4da1a8c-bc14-445f-bf2e-fe7d357c007a,1a3a0343-4072-41bc-b23e-6b47d00d1bc0,8,Airtight container to keep pet food fresh.,7,24.99,Highly Confidential,Real Estate,1a3a0343-4072-41bc-b23e-6b47d00d1bc0,1a3a0343-4072-41bc-b23e-6b47d00d1bc0,Gabelli Global Small and Mid Cap Value Trust (The),1a3a0343-4072-41bc-b23e-6b47d00d1bc0,8,12,52,Personal Protective Equipment
cf3a8b33-c17d-4284-bb1f-96381cc135eb,b1db0b69-1d46-4d0d-90eb-12b29078aa50,9,Fun and educational puzzle set for kids.,8,19.99,Unclassified,Telecommunications,b1db0b69-1d46-4d0d-90eb-12b29078aa50,b1db0b69-1d46-4d0d-90eb-12b29078aa50,AMN Healthcare Services Inc,b1db0b69-1d46-4d0d-90eb-12b29078aa50,9,56,60,Telecommunications Equipment
b615cac1-e050-4dd3-854d-72ccbf8b493c,6caeb2f3-b0df-49bf-b471-dcc9aad9190a,10,Reusable silicone mats for non-stick baking.,2,19.99,Internal Use Only,Transportation,6caeb2f3-b0df-49bf-b471-dcc9aad9190a,6caeb2f3-b0df-49bf-b471-dcc9aad9190a,"NetApp, Inc.",6caeb2f3-b0df-49bf-b471-dcc9aad9190a,10,13,19,Cleaning Products
eeb40503-5da2-4704-9582-8f65465cb6a4,2ca2bf7f-50c3-4beb-88e6-71472376ccbf,11,"Savory, protein-rich beef jerky for on-the-go snacking.",17,5.99,Top Secret,Hospitality,2ca2bf7f-50c3-4beb-88e6-71472376ccbf,2ca2bf7f-50c3-4beb-88e6-71472376ccbf,"Republic Bancorp, Inc.",2ca2bf7f-50c3-4beb-88e6-71472376ccbf,11,120,100,Furniture and Furnishings
f5bd6fd9-503c-4a5b-8fb0-cdeeca76027e,670d7359-f2d9-4be2-85c8-4293b5053ce8,12,Creamy almond butter sweetened with maple syrup for a delicious spread.,9,5.49,For Official Use Only,Energy,670d7359-f2d9-4be2-85c8-4293b5053ce8,670d7359-f2d9-4be2-85c8-4293b5053ce8,EDAP TMS S.A.,670d7359-f2d9-4be2-85c8-4293b5053ce8,12,27,70,Food and Beverage Services
2c49cdb5-7ed6-4aa1-a52a-207c20166720,b4efac5f-afab-4f2c-ac11-f13a7745e83b,13,A healthy mix of assorted dried fruits and nuts for snacking.,16,5.99,Sensitive,Government,b4efac5f-afab-4f2c-ac11-f13a7745e83b,b4efac5f-afab-4f2c-ac11-f13a7745e83b,"Bob Evans Farms, Inc.",b4efac5f-afab-4f2c-ac11-f13a7745e83b,13,88,100,Automotive Parts
a258c23e-7248-40e3-8418-8af5e04cf0c7,45467c8f-7242-427f-9b15-5a8aa3d8ee91,14,"Frozen berries blend perfect for smoothies, just add yogurt.",13,5.99,Unclassified,Construction,45467c8f-7242-427f-9b15-5a8aa3d8ee91,45467c8f-7242-427f-9b15-5a8aa3d8ee91,"Live Nation Entertainment, Inc.",45467c8f-7242-427f-9b15-5a8aa3d8ee91,14,65,100,Travel Services
5b403fbf-0699-454e-ab1f-6d0ba76d53f2,b1de9385-5513-4d2a-9b5e-aa7e7c154f5e,15,"A mix of wild rice with herbs and spices, ready to serve.",6,3.79,Internal Use Only,Healthcare,b1de9385-5513-4d2a-9b5e-aa7e7c154f5e,b1de9385-5513-4d2a-9b5e-aa7e7c154f5e,Viper Energy Partners LP,b1de9385-5513-4d2a-9b5e-aa7e7c154f5e,15,8,50,Office Supplies
f6741c7e-8e46-42f2-af13-7a8273fee137,ac73e6ae-d48d-4aff-911c-8ca0b3eebe79,16,Durable and spacious backpack for travel and school.,14,49.99,Public,Pharmaceuticals,ac73e6ae-d48d-4aff-911c-8ca0b3eebe79,ac73e6ae-d48d-4aff-911c-8ca0b3eebe79,"Digital Realty Trust, Inc.",ac73e6ae-d48d-4aff-911c-8ca0b3eebe79,16,9,100,Educational Materials
e7b4b5f3-1d4b-420d-acdc-517e6ffd9a48,d1530197-2531-444f-9cd0-792e8ff372f3,17,Soft comforter set for a cozy bedroom look.,10,89.99,Proprietary,Education,d1530197-2531-444f-9cd0-792e8ff372f3,d1530197-2531-444f-9cd0-792e8ff372f3,"Texas Capital Bancshares, Inc.",d1530197-2531-444f-9cd0-792e8ff372f3,17,63,78,Software Licenses
2222fe02-96d5-4da9-8495-161214c384b5,133a665c-0dd2-4d54-a40a-dfc0ffa885d4,18,Durable tarp for outdoor camping and protection.,8,32.99,Confidential,Automotive,133a665c-0dd2-4d54-a40a-dfc0ffa885d4,133a665c-0dd2-4d54-a40a-dfc0ffa885d4,Citizens First Corporation,133a665c-0dd2-4d54-a40a-dfc0ffa885d4,18,6,68,Clothing and Apparel
