distribution_id,distribution_key,title,type,user_role,created_by_user_key,school_key,district_key,organization_key,expiration_date,expire_offset,active,allow_direct_pay,allow_reimbursements,allow_marketplace,is_shared
1,84155212-8405-463d-8223-58847830d3f0,Maple Almond Yogurt,Subscriber,viewer,84155212-8405-463d-8223-58847830d3f0,26318570-9b3a-4bcc-af12-278399314944,a11bc21f-8a46-497c-b5ee-3c9abf59e2fd,49913c7a-1a89-41b5-92a9-2d3a87edebc8,2025-08-21 06:50:11,2 years,0,0,0,0,0
2,b4df50e8-f874-4f09-af0f-38916c29626e,Printed Maxi Skirt,Author,developer,84155212-8405-463d-8223-58847830d3f0,e430464b-072f-41d7-a0ca-152eafdc588a,7483308f-885f-4a01-bc6b-f4598ac51ecf,3daaa036-8ea2-43ab-82ba-3c58e257e786,2025-02-15 14:58:20,On renewal,1,1,1,1,1
3,49616923-33aa-47d1-86b5-6049ebf14930,Herbed Goat Cheese,Guest,guest,84155212-8405-463d-8223-58847830d3f0,ef69e191-5a91-4868-955c-69489f068931,657f955c-a540-46d6-9695-da4767a5b454,c9cd3ce5-0432-46f3-9147-c89284232d9b,2025-06-30 02:29:46,180 days,0,0,0,0,0
4,f619d4c9-b373-446d-b99c-f298bb001b95,Outdoor Adventure Backpack,Partner,contributor,84155212-8405-463d-8223-58847830d3f0,f6d32418-c342-4baa-8266-f3488fa22a79,98f3e4eb-2d9c-4c5a-b194-53b633b2786e,64f4dd91-46c4-4fbd-86a6-a9d106ea9368,2024-11-01 17:05:14,After payment,1,1,1,1,1
5,34aa33f0-fb3c-4198-a40b-4c42d4495917,Almond Flour Bread Mix,Analyst,user,84155212-8405-463d-8223-58847830d3f0,ee8e3f28-0019-4628-a826-aeb00fd9a8d1,4e4c50f7-0042-414e-8716-2e3c1bc50d89,ba0c30ac-194d-463a-aebb-c051b30687f4,2025-09-16 08:14:51,Never,0,0,0,0,0
6,3c8ec7a4-5163-4aa6-954b-7deebbda0dd7,Peanut Butter Protein Balls,Member,moderator,84155212-8405-463d-8223-58847830d3f0,d0cf382e-760e-4d78-bc4f-af9982896d79,013ab5ba-26dd-458d-93fa-ec349a2b5583,1e0ebb42-0134-4ed2-8de1-edaed5710d03,2025-06-25 19:03:03,On cancellation,0,0,0,0,0
7,7b39eaac-db88-44d3-b216-6c3ddf01aa93,Casual Cropped Sweater,Customer,support,84155212-8405-463d-8223-58847830d3f0,905470b0-acb2-40d2-a4ea-5d81ba646b56,c7ed0b26-fa6a-4159-8ae3-d5c23d63ee49,c12f02c1-0c2e-49c8-9800-9636b0cd0df2,2024-10-18 00:40:37,12 months,1,1,1,1,1
8,aa5348cd-e869-4fcc-8e9e-a50933f66767,Digital Stopwatch Timer,User,admin,84155212-8405-463d-8223-58847830d3f0,24ed3c61-7193-4cdd-8045-8e6ba000bf10,9c4572be-a96f-45e3-995d-8847bf163699,51f3a65a-81a0-4e1c-8ea3-7bd53b659475,2025-07-31 01:07:35,60 days,0,0,0,0,0
9,0ed71cc8-afbe-4feb-91af-88351cdbf944,Coconut Chips,Support,manager,84155212-8405-463d-8223-58847830d3f0,cb33ed65-2039-4461-8b12-f5f6cb53b258,5095e092-2b3a-488e-8dc4-3116eb20f3e0,b845563b-8bf9-4c4b-b66b-1f95b1068395,2025-05-22 23:53:06,3 months,0,0,0,0,0
10,dfcd9f6e-78f8-4c67-85ff-54a68af006ee,Travel Jewelry Case,Consultant,editor,b4df50e8-f874-4f09-af0f-38916c29626e,e754ebeb-3fa0-4e94-aaab-fab0e9dea7cf,12e88014-a9dd-4b92-a06b-3287bf50bf35,180246f1-c648-4829-a568-2627d5acfb05,2025-06-22 11:56:39,After activation,0,0,0,0,0
11,04780a39-6c0c-41d4-a645-1d9a98a2f278,Digital Alarm Clock,Contributor,support,b4df50e8-f874-4f09-af0f-38916c29626e,36953eec-ef07-4797-89c2-e66ddf517d0c,643b4fd9-4183-477a-855a-505d7c9b9c15,cc3d59a2-8cea-4ea5-99ac-83a8cb7b4b3a,2025-01-17 20:45:30,7 days,1,1,1,1,1
12,1af28c2d-ee04-46b5-b32f-e859d5d31ac4,Fruit and Nut Energy Bites,Vendor,viewer,b4df50e8-f874-4f09-af0f-38916c29626e,dd7f04e7-2b7a-4e26-b1a7-843fba9fcfc6,6d22a08a-d524-4e2b-909c-fdd6f252a27a,8f71cd7b-c9b5-4881-a8ea-936768f2f919,2025-03-28 10:28:33,6 months,1,1,1,1,1
13,8f71cd7b-c9b5-4881-a8ea-936768f2f919,Organic Quinoa Salad,Operator,contributor,b4df50e8-f874-4f09-af0f-38916c29626e,0a5f252d-8d08-42c4-9ee2-7962b3e51370,1ff09c9c-7f8c-4612-bca8-fdbebaacf9b9,2886d4f3-f622-48a8-aac8-41f67e25be8d,2025-06-29 12:00:14,End of year,0,0,0,0,0
14,7548446b-f3cd-46c9-9b0d-2fe88c36020e,Almond Flour Biscuits,SuperAdmin,admin,49616923-33aa-47d1-86b5-6049ebf14930,344d587a-f115-4a30-9718-a7b4b0894f58,aa337088-6960-4c52-b135-406f2743485a,042ef86f-37d0-4f3b-a557-16434193c5ee,2024-12-08 06:33:15,Custom,1,1,1,1,1
15,bb6adcf6-c3a8-4dfa-b131-2394e92b6ef6,Frozen Acai Purée,Editor,user,49616923-33aa-47d1-86b5-6049ebf14930,98aa5048-d721-4f26-a8ee-9058058936df,ace7a003-3088-4985-8ccc-91ea942d717d,cb58c26a-f8c2-45b5-ab9e-856e5794427c,2025-08-26 21:31:30,24 months,0,0,0,0,0
16,e3baf080-ff7e-46a1-91a6-f02f733f0a4b,Spicy Garlic Edamame,Admin,guest,49616923-33aa-47d1-86b5-6049ebf14930,4994699d-9ce2-42d0-95c2-fb029b4efa89,5a4b00a4-c056-4201-be03-5e99f1082848,857205a4-cd86-49f4-bb03-ee71da574ff9,2024-12-19 06:19:52,1 year,1,1,1,1,1
17,446c2d70-ebc5-40e6-9516-f8cf0ff17018,Toilet Paper (12 rolls),Manager,manager,49616923-33aa-47d1-86b5-6049ebf14930,a52ce79d-0909-4f94-a1ca-1546b570137c,83f2c172-57b6-4450-87e5-8932921c1293,d4b6c29f-c3d1-4267-9d9f-26d8d4584bcb,2025-08-27 09:13:44,30 days,0,0,0,0,0
18,f3ae3277-e00f-45a8-bd6d-a144eb63becf,Sea Salt Tortilla Chips,Viewer,editor,49616923-33aa-47d1-86b5-6049ebf14930,1280e572-5db9-43e6-9582-b50ae9793f5d,d6ba4c1e-8285-4809-a9eb-aeafe5062a27,994cb13e-df83-4bdb-a7d2-20140ae0164f,2024-11-15 13:19:05,14 days,1,1,1,1,1
19,77e14d63-6fdd-48d4-ae8b-c3a4eb2b8193,Honey Sesame Chicken Mix,Moderator,developer,49616923-33aa-47d1-86b5-6049ebf14930,66eef86e-10f9-4bb6-b998-2019dd9624b8,f0939b92-da94-4150-bbb4-be55942b55d1,9f094806-ad8e-4454-b55f-9673b917a480,2024-10-15 17:37:35,Immediate,1,1,1,1,1
20,6f3dfd58-5bf5-46ed-8c59-5048c0de70f2,Chickpea Snack Mix,Developer,moderator,49616923-33aa-47d1-86b5-6049ebf14930,1ec87924-bdf9-474a-998b-cba4bb940465,dbcefc3a-fb23-4b0a-a354-69258d79b7fc,82d9167b-df2e-4185-81bc-e48134b4d7fb,2024-11-24 02:38:24,90 days,1,1,1,1,1
21,510834ac-915f-4ba9-abbb-5abb88734b95,Berries Medley,Consultant,support,49616923-33aa-47d1-86b5-6049ebf14930,9995e628-9da2-4a5a-bf44-b63660cde014,450a3015-f482-4465-a150-780b4c0a1e04,ad4c75a4-960f-448c-9c0f-37121a6ae61c,2025-04-23 12:17:25,End of month,0,0,0,0,0
