district_id,district_key,name,state
212,97212a3a-ba78-4ca5-835e-41a3d9927cea,'S-GRAVENHAGE,Texas
360,640b0550-8c10-440d-bd74-ea0651422f67,'S-GRAVENHAGE,Michigan
717,095c795a-0e47-4516-8db9-3f89e1d69ae3,ABYMES CEDEX,Florida
836,cdb9a350-e0d0-4b35-8389-f3b8f57a8469,ALAMOGORDO,Missouri
5,34aa33f0-fb3c-4198-a40b-4c42d4495917,ALBANY,Oklahoma
151,ad5abd9f-4187-42d7-a8eb-b196b8557a99,ALBANY,Wisconsin
197,859fec3d-9e2e-4551-90ba-9090f8c240d0,ALBANY,Michigan
334,f244334d-cdd7-4ad4-bae5-de428ba4562e,ALBANY,Connecticut
404,f7772617-0fc8-4cb6-99ef-93b4e78c2464,ALBANY,California
594,b58f1300-4767-4110-b81b-d79dfb2550e3,ALBANY,Pennsylvania
610,d62e1ada-5189-4ceb-981c-1bb248c6cc71,ALBANY,Arizona
920,5095e092-2b3a-488e-8dc4-3116eb20f3e0,ALBANY,Texas
944,a8dd46d4-93d6-47ae-9404-ceffd31df5b0,ALBANY,California
375,f3722b9e-d837-4b85-99d8-25f1fd54a0c1,ALBI CEDEX 9,Nebraska
552,0b5edcdf-30f8-46ac-9e1f-2313cb73ff9b,ALEXANDRIA,Michigan
855,10511923-2c0b-4ec0-9a1e-cd635bbfc987,ALTEA,Oregon
519,0bc2a223-ab02-4ae3-b44f-3ab58a0da985,AMERICUS,Texas
853,1c792dcc-9eec-4c48-9106-1f3e4f6f6b44,AMERSFOORT,Connecticut
55,4e4c50f7-0042-414e-8716-2e3c1bc50d89,AMHERST,Washington
285,603a8318-64ee-4e8c-9ee0-c3cadb1809a7,AMHERST,New Jersey
691,a6094bcb-0b83-4c3e-99a9-a9e2f53abac6,AMHERST,Florida
67,06ce4f49-9abb-4eb7-88da-43cc6eb87025,AMSTERDAM,Texas
133,e55037df-500a-4acf-9c54-384059e88b5d,AMSTERDAM,New York
372,a1e25a57-639a-4eb9-bb63-370a239c3ea4,AMSTERDAM,Texas
400,2aa9f936-05d5-4687-8890-c1bb35a0bc33,AMSTERDAM,Nevada
463,0a5edef6-49da-473f-8b48-957fa52bffcb,AMSTERDAM,Virginia
495,c32f987a-d08a-409f-9308-018e965aba92,AMSTERDAM,South Carolina
684,e93c5d35-e087-4600-8e1f-3880ed9ba020,AMSTERDAM,Georgia
323,70abca42-8dd5-4ce7-ba41-1ff1affdcc61,ANADARKO,New Hampshire
840,dbcefc3a-fb23-4b0a-a354-69258d79b7fc,ARRASATE/MONDRAGON,Indiana
800,fd5b6171-b2f6-484b-8a2f-e7a8b6704113,ASHLAND CITY,New Mexico
288,316caf1b-a92c-4b9b-8ebc-5cf0d2a3781c,ATLANTA,Colorado
699,e146b59b-2c22-4bc2-9331-de1b9ada4e73,ATLANTA,Oklahoma
711,99c265cd-a013-4c6c-907b-103feeb40d45,ATLANTA,Arizona
648,a418aee5-9d6d-4a16-8348-f740284d76b2,ATWOOD,Alabama
726,543b408a-b33a-465a-982e-9fe90faf3d6b,AUBURN,Arkansas
275,4c4d2b2c-6f07-4ae1-a258-c81f47fad97c,AVILLA,California
