activity_ts,organization_id,district_id,school_id,user_id_to,user_id_from,distribution_id,distribution_id_from,activity_type_id,activity_ref_key,activity_detail_idx,activity_sub_type_id,activity_status_id,vendor_id,transaction_key,vendor_order_key,vendor_purchase_order_number,description,amount,total_amount,shipping,fees,tax,discount,vendor_cogs_discount,updated,updated_date,authorizenet_transid,invoiceAchDataId,distributionVendorName,created_date,submitted_date,completed_date,modified_date,prepaidStatus,original_amount,is_autoprocessed,req_transaction_token
2024-10-12 02:52:59,1,888,16173,16173,16173,16173,395,3,52ee4f06-91d3-40eb-a1e2-7a7d3e871242,10,395,10,5954,2RSV20NANHA80BBA,LHWAGKFY-I9K3-GGSN-F8JV-BD2YEOK4KUD3,S62CBK0L1,"Quae fuerit causa, mox videro. Initia proficiscuntur aut a voluptate aut a dolore. Quod cum ita esset affecta, secundum.",97.89,97.89,9.79,4.89,7.83,4.89,4.89,1,2024-10-14 11:16:51,842939941,IEZ3656ld,Marlin Business Services Corp.,2024-10-14 11:16:51,2024-10-16 19:40:43,2024-10-19 04:04:35,2024-10-21 12:28:27,Active,97.89,1,ChMM4xJ6nJJ9y18EOAG79W4WxYruY11x
2024-10-12 15:38:43,1,245,18972,18972,18972,18972,534,2,db3a9a96-de30-4d31-9332-d8f38bf1a63f,9,534,5,4256,P68KAWO703LQVGQJ,CBN5F7MB-TZN5-JVJS-HHTU-L7FEJSL9LUDE,00Y,"Optio, cumque nihil impedit, quo minus animus a se ipse dissidens. Sic ut plura nemini e nostris, et scribentur fortasse plura, si vita suppetet. Existunt saepe formidines. Denique etiam morati. Sit, quod Epicurum nostrum non tu quidem oderis, ut.",90.55,90.55,9.06,4.53,7.24,4.53,4.53,0,2024-10-19 19:00:56,6278938,JMB2615qq,"ConAgra Brands, Inc.",2024-10-19 19:00:56,2024-10-26 22:23:09,2024-11-03 01:45:22,2024-11-10 05:07:35,Active,90.55,0,9J51dRKE81LvQW84gtL6MQBcjY035o41
2024-10-16 02:01:45,1,298,7908,7908,7908,7908,1423,1,39abaad5-5991-45e6-9d43-cc1d4d215366,8,1423,11,9987,CJDMCBE1VTXGCUNV,4PGJXSQZ-I9Y8-FP4R-GHTN-ICHDNMA870HA,9UZA,"Ita melius sit, migrare de vita. His rebus peccant, cum. Ut plura nemini e nostris, qui haec subtilius velint tradere et negent satis. Tua praesertim, qui studiose antiqua persequeris, claris et fortibus.",75.07,75.07,7.51,3.75,6.00,3.75,3.75,0,2024-10-22 00:18:14,21931864,PNG4147ps,"FairPoint Communications, Inc.",2024-10-22 00:18:14,2024-10-27 22:34:43,2024-11-02 20:51:12,2024-11-08 19:07:41,Inactive,75.07,0,mXdb3PsxFK779QQG6Pcd9bLgZg4O7U8q
2024-10-17 13:35:29,1,752,6688,6688,6688,6688,1806,1,1cdc1914-06f9-4628-b61b-a4d5fd597c82,12,1806,2,11310,3G8A9RG86822DGFE,4IAJO08Q-PQIS-RNJ4-ERQL-VC00TNGRBXSF,UWRV,"Minime nobis iniucundus labor. Iis igitur est non miser. Viros censes tantas res gessisse sine causa? Quae fuerit causa, mox. Orationis et consequentium repugnantiumve ratio potest perspici. Omnium autem rerum natura duo quaerenda sint, unum. Captiosa solvantur ambigua distinguantur ostendit; iudicia rerum dirigentur, numquam ullius oratione. Et mortem contemnit, qua qui affecti sunt in culpa, qui officia.",122.47,122.47,12.24,6.13,9.80,6.13,6.13,0,2024-10-26 09:14:59,91992925,AFJ3755oa,Yirendai Ltd.,2024-10-26 09:14:59,2024-11-04 04:54:29,2024-11-13 00:33:59,2024-11-21 20:13:29,Inactive,122.47,0,UIFj4aXN47YS3QxzIkr55Ej84XOUUAnV
2024-10-18 07:38:22,1,890,4176,4176,4176,4176,2004,1,f8366374-e227-44f5-b671-6abfe1f0175c,3,2004,3,12665,8B81Z195HK2VM13O,6HFNCA6T-W5EJ-VS2O-BAB4-39PIHI0XE6G2,WMD58SIH,"Mediocrium nos esse dominos, ut, si. Discenda. Quae cum dixisset, Explicavi, inquit, sententiam. Contra Cyrenaicos satis acute, nihil ad Epicurum. Nam si ea sola voluptas esset.",29.15,29.15,2.92,1.45,2.32,1.45,1.45,1,2024-10-23 01:03:17,737202,NGQ8703ab,Eaton Vance NextShares Trust,2024-10-23 01:03:17,2024-10-27 18:28:12,2024-11-01 11:53:07,2024-11-06 05:18:02,Cancelled,29.15,1,lpWs41J3q889jf1l8xLY7xJNSmW6mpg7
2024-10-20 15:46:43,1,4,14315,14315,14315,14315,2625,1,df2bee8f-53d4-4ec5-a150-848bff549010,12,2625,4,8371,AUKKF3PCLUFVKKT0,D0NQN1VM-DKYF-AAWI-4F0S-KK1T0IFUDANH,EYY,"Quidem quam fuit quem imitarentur, ullus orationis vel copiosae vel elegantis ornatus defuit? Ego. Ipsum per se esset et virtus et cognitio rerum, quod minime ille vult expetenda. Haec. Aut Zenonem putas, quorum utrumque audivi, cum miraretur ille quidem utrumque, Phaedrum.",124.89,124.89,12.49,6.25,9.99,6.25,6.25,1,2024-10-24 16:12:02,240386773,ANC8565en,"Installed Building Products, Inc.",2024-10-24 16:12:02,2024-10-28 16:37:21,2024-11-01 17:02:40,2024-11-05 17:27:59,Depleted,124.89,1,oDPqcIOiElFffW8fn4V1MPL2P50dgz5k
2024-10-22 08:46:28,1,120,5572,5572,5572,5572,3082,3,10349614-3b39-4bf7-9f8e-6ddd5f0e9777,11,3082,7,8832,QV3GAHL4LQULPID8,0MUX7YSZ-DJNW-X1TA-G30E-PHK3NL473GVH,AOU,"Tum poena legum odioque civium? Et tamen ego a philosopho, si afferat eloquentiam, non. Et fortibus viris commemorandis eorumque factis non emolumento aliquo, sed ipsius. Verbis, quod vult, et dicit plane, quod intellegam; et tamen in quibusdam neque pecuniae. Se libidinibus constringendos nec quid eventurum sit provident ob eamque debilitatem animi. Autem situm in nobis ut et adversa quasi.",108.13,108.13,10.81,5.41,8.65,5.41,5.41,0,2024-10-31 12:56:21,185857,OQQ6000by,"Korea Equity Fund, Inc.",2024-10-31 12:56:21,2024-11-09 17:06:14,2024-11-18 21:16:07,2024-11-28 01:26:00,Recharged,108.13,0,W865J2d90IqJoZzg4LJXVR9NQpJlGB1z
2024-10-23 17:33:00,1,330,11625,11625,11625,11625,3433,3,13e293ff-e4b5-44c5-becf-b43a988fd89b,9,3433,4,2664,52I63FL75TDJ8ZDN,JL8MO080-6G8Q-7M4H-Z6ZL-TGFKCP8BT0PB,LE3JPSN,"Summis ingeniis exquisitaque doctrina philosophi Graeco sermone tractavissent. Architecto beatae vitae disciplinam iuvaret. An ille tempus aut in liberos atque in sanguinem. Pellat ex animis, quae nos a. Quibus ante dictum est, sic amicitiam negant posse a voluptate.",93.15,93.15,9.32,4.66,7.45,4.66,4.66,0,2024-10-30 10:09:49,4357045,KOJ8108ol,"Luby's, Inc.",2024-10-30 10:09:49,2024-11-06 02:46:38,2024-11-12 19:23:27,2024-11-19 12:00:16,Suspended,93.15,0,Swdg07sKgW5nx1syK1uwOwWX50g985g8
2024-10-26 12:46:21,1,557,7962,7962,7962,7962,4195,1,e640fdf8-7f77-48c5-a658-0a94fc92db8b,4,4195,2,16606,6COZE2UN6QAW05WP,NVKJM4G0-C8TR-G292-V0TU-TAVX2M7PVG8U,C8OC2ZZP,"Ne minus amicos quam se ipsos amentur. Etenim si delectamur, cum scribimus, quis est. Melius. Addidisti ad extremum etiam indoctum fuisse. Fieri, inquam, Triari. Pater aiebat, si loqui posset. Conclusum.",41.28,41.28,4.13,2.06,3.30,2.06,2.06,1,2024-10-30 08:46:27,960136498,NRO1863nw,PowerShares FTSE International Low Beta Equal Weight Portfolio,2024-10-30 08:46:27,2024-11-03 04:46:33,2024-11-07 00:46:39,2024-11-10 20:46:45,Pending Activation,41.28,1,gPQj0R135cX3hvISU6R2lPkas1uAYbwD
2024-10-26 22:41:51,1,99,8794,8794,8794,8794,4300,2,f852d3d0-d496-4e5c-9cef-80ce8fcb8abd,12,4300,5,2953,9W9BNY6I9OV7OV37,43EJRY25-K0RE-WN46-BM9V-T75P25079OV7,QM54,"Posse reperiri. Quapropter si ea, quae corrigere vult, mihi. Nec modus ullus nec finis inveniri potest. Quodsi corporis gravioribus morbis vitae iucunditas. Potitur, ut animadvertat quanta sint ea quamque iucunda, neque pendet. Cupiditates inmensae et inanes divitiarum, gloriae, dominationis, libidinosarum etiam voluptatum. Accedunt aegritudines, molestiae, maerores, qui.",122.95,122.95,12.29,6.15,9.84,6.15,6.15,0,2024-11-02 21:30:26,035760918,DLH7971xe,Vuzix Corporation,2024-11-02 21:30:26,2024-11-09 20:19:01,2024-11-16 19:07:36,2024-11-23 17:56:11,Pending Activation,122.95,0,2saQIrw3b9A9omR396tavZUy172ybU76
